Post ID,Post creation date,Post creation time of day,Post type,Post message,Post shared link,Post caption,Post thumbnail URL,Post image URL,Link to post,Post comment text,Total post reactions,Post link clicks,Likes on posts,Shares on posts,Comments on posts,Comments on shares,Post impressions (page likers [fans] only),Post reach (page likers [fans] only)
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbFIJS92KSpjkS3xKMmTJQRv95OKqECQyyg-IJAQdmkcPA&oe=6458824B&_nc_sid=6ac203,https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHWC84HqRipZ3Vo1m2hZgpH-SXtcDGuK4BtT6H5N4CcVA&oe=6458824B,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,Applications,20,36,14,2,3,0,545,509
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbFIJS92KSpjkS3xKMmTJQRv95OKqECQyyg-IJAQdmkcPA&oe=6458824B&_nc_sid=6ac203,https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHWC84HqRipZ3Vo1m2hZgpH-SXtcDGuK4BtT6H5N4CcVA&oe=6458824B,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,Ayanda Martin,20,36,14,2,3,0,545,509
926011594215556_754885459520463,2023-03-04,21:58:02,share,"We are excited about our partnership with ALX, the African education powerhouse, to train 25,000 Africans in the dynamic fields of data science and data analytics. This collaboration is a significant step towards building a brighter future for Africa, one that's grounded in the power of data and the potential of Africa's youth.

Read more about it here: https://bit.ly/3Zs8v9O

#ExploreAIAcademy #ALXAfrica #DataScience #DataAnalytics #TechEducation #EmpoweringAfrica",https://ventureburn.com/2023/03/exploreai-alx-to-train-25k-data-science-students/?utm_campaign=alx_partner&utm_source=facebook&utm_medium=pr_article&utm_content=1677959880,"ExploreAI, ALX to train 25k data science students - Ventureburn",https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&stp=c0.5000x0.5000f_dst-emg0_p130x130_q75&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&oh=06_AbFIJS92KSpjkS3xKMmTJQRv95OKqECQyyg-IJAQdmkcPA&oe=6458824B&_nc_sid=6ac203,https://external-lcy1-1.xx.fbcdn.net/emg1/v/t13/9517520842357614147?url=https%3A%2F%2Fs5.cdn.ventureburn.com%2Fwp-content%2Fuploads%2Fsites%2F2%2F2023%2F03%2F1-DRWTPXC_9R-XPeIUKGdVdw.jpeg&fb_obo=1&utld=ventureburn.com&_nc_eui2=AeHOOQXFR-J1wkQ_aRcB6JxLbX5rOIvfLs5tfms4i98uztVd2-MpYgfhaZDIAmX7sGg&ccb=13-1&_nc_sid=834697&stp=dst-emg0_q75&ur=64c8fc&oh=06_AbHWC84HqRipZ3Vo1m2hZgpH-SXtcDGuK4BtT6H5N4CcVA&oe=6458824B,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=754885459520463,I truly love this really gonna bring some changes in many peoples life specially youth of Africa . I would like to know where can you apply and what is the requirements of education you need I am still busy with System development course NQF national Certificate level 4 be finished in June can I still apply  also for Data science course ?,20,36,14,2,3,0,545,509
926011594215556_755905349418474,2023-03-06,13:56:51,photo,"Join us tonight at 7pm EAT for a Twitter space with ExploreAI data experts in partnership with ALX, as they dive into the exciting world of data and discuss cutting-edge courses.

https://twitter.com/i/spaces/1MYGNgAEmRoJw

#ExploreAIAcademy #ALXAfrica #Data #DataScience #DataAnalytics",https://www.facebook.com/alxafrica/photos/a.158716144998628/1264127124457519/?type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=WhdruCSvt4sAX8Z_T-R&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCMklVkqf6njDWi8t-EVko8WooChrlITYfiisezHSaLjQ&oe=645C7890,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=WhdruCSvt4sAX8Z_T-R&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA7POViKxog69Z3w2NqNoRhoWlsidR7XmEGf15X-dXhJw&oe=645C7890,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=755905349418474,Which  requirements need to have someone to apply for data science course through ALX if does not have funds or unemployed but he want to study,9,7,9,1,2,0,391,352
926011594215556_755905349418474,2023-03-06,13:56:51,photo,"Join us tonight at 7pm EAT for a Twitter space with ExploreAI data experts in partnership with ALX, as they dive into the exciting world of data and discuss cutting-edge courses.

https://twitter.com/i/spaces/1MYGNgAEmRoJw

#ExploreAIAcademy #ALXAfrica #Data #DataScience #DataAnalytics",https://www.facebook.com/alxafrica/photos/a.158716144998628/1264127124457519/?type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=WhdruCSvt4sAX8Z_T-R&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCMklVkqf6njDWi8t-EVko8WooChrlITYfiisezHSaLjQ&oe=645C7890,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/331558669_1287511308499221_8198409148237815255_n.png?stp=dst-png_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEpTcFz2zgxeSBxUl58YopgNV9bsSGfhcg1X1uxIZ-FyN_UlnF3Q41d6M90X2OKwik&_nc_ohc=WhdruCSvt4sAX8Z_T-R&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA7POViKxog69Z3w2NqNoRhoWlsidR7XmEGf15X-dXhJw&oe=645C7890,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=755905349418474,i would like to come  in the opening day,9,7,9,1,2,0,391,352
926011594215556_768641608144848,2023-03-24,16:34:02,share,"Jonathan – part of ExploreAI Academy's data science class of 2020 – cohosts ExploreAI's inaugural podcast with Kieran, whose voice you may recognise from the Academy's video content.

Give it a listen, and share it with a friend if you like it!
https://bit.ly/3nlhT0s",https://www.linkedin.com/feed/update/urn:li:activity:7045005331583623169?utm_campaign=podcast&utm_source=facebook&utm_medium=social&utm_content=blogpodcast,www.linkedin.com,,,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=768641608144848,looking forward to upcoming episodes,4,15,4,,1,0,428,391
926011594215556_777527503922925,2023-04-06,12:45:02,photo,"Applications for our courses with Scholarship and Accelerator income share agreement tuition options will open soon.

Register interest in your course of choice for our July intake. We’ll follow up as soon as applications are open!

https://interest.explore.ai",https://www.facebook.com/photo.php?fbid=777527490589593&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=9YwP4BHJWogAX8A3RD1&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDiuJc2Rf9fblwcfpiXYW_VaANXao306gmj7s0iIrieBQ&oe=645AF486,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=9YwP4BHJWogAX8A3RD1&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCyjVRKNnajgTPearOg1gPPi4dk_y2wbaDKAFu5sYnhkA&oe=645AF486,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=777527503922925,"I've been applying since 2019 but still no luck, yho I've applied 7 times 😭😭",20,31,13,1,2,1,1654,1650
926011594215556_777527503922925,2023-04-06,12:45:02,photo,"Applications for our courses with Scholarship and Accelerator income share agreement tuition options will open soon.

Register interest in your course of choice for our July intake. We’ll follow up as soon as applications are open!

https://interest.explore.ai",https://www.facebook.com/photo.php?fbid=777527490589593&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p130x130&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=9YwP4BHJWogAX8A3RD1&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDiuJc2Rf9fblwcfpiXYW_VaANXao306gmj7s0iIrieBQ&oe=645AF486,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340115059_6391145660937782_6885633665074979797_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGZi8gp9DheZqU8AxNlQmassNtKWMIp-9yw20pYwin73OlIQWHltd8CfuYIvfgp3lk&_nc_ohc=9YwP4BHJWogAX8A3RD1&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCyjVRKNnajgTPearOg1gPPi4dk_y2wbaDKAFu5sYnhkA&oe=645AF486,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=777527503922925,Okay,20,31,13,1,2,1,1654,1650
926011594215556_780632273612448,2023-04-11,11:55:01,photo,"Applications are open for our self-funded programmes with a July 2023 start date.

Choose between data science and data engineering. Follow the link below to apply!

https://admissions.explore.ai",https://www.facebook.com/photo.php?fbid=780632260279116&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340765764_1978622179138665_8195859737920808168_n.jpg?stp=dst-jpg_p130x130&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGho9NlgVzcbzycoBowfjsJg2iAyvW8aD-DaIDK9bxoP7Lad5blumHru8eav3l05cA&_nc_ohc=52QNeJvXMWIAX_yEBUZ&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDjhb78n7Ng_KBFZFH9YVCEPY9GNr3edBF_psd_tfSKSQ&oe=645C0125,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340765764_1978622179138665_8195859737920808168_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeGho9NlgVzcbzycoBowfjsJg2iAyvW8aD-DaIDK9bxoP7Lad5blumHru8eav3l05cA&_nc_ohc=52QNeJvXMWIAX_yEBUZ&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBM4zGXQqBhWKotbcU_P_6ahPEqiPTwqov2s1I4GA1_Lg&oe=645C0125,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=780632273612448,,5,5,4,1,0,1,534,526
926011594215556_781395100202832,2023-04-12,16:08:01,photo,"Applications are open for all of our programmes with a July 2023 start date!

Choose between data science and data engineering, and three tuition options.

Follow the link below to apply.

https://admissions.explore.ai

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=781395076869501&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p130x130&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=FaNv9qi7C8sAX9jfjua&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAqukuYTldzxYYvDPHH9hTmTl9P_Yq0Uy24_2ubp3s5BA&oe=645B9A50,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=FaNv9qi7C8sAX9jfjua&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCYaYwgP-VUrmD1hzlN-pqTZGWP1AExi4IlWYv-ugq_RA&oe=645B9A50,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=781395100202832,ARCHITECTURE| DECORATION | CEILING DESIGN | PLASTERING |SKIMMING |PAINTING |BUILDERS |CONSTRUCTION 🚧 | TILES | INTERIOR DESIGN | THATCHING |ENGINEERING.  0775372515,14,24,9,6,2,0,1114,1102
926011594215556_781395100202832,2023-04-12,16:08:01,photo,"Applications are open for all of our programmes with a July 2023 start date!

Choose between data science and data engineering, and three tuition options.

Follow the link below to apply.

https://admissions.explore.ai

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=781395076869501&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p130x130&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=FaNv9qi7C8sAX9jfjua&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfAqukuYTldzxYYvDPHH9hTmTl9P_Yq0Uy24_2ubp3s5BA&oe=645B9A50,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340297504_162382996428116_918653183741904553_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeHYJd14PGFf-P2xIUlyv3CnIH-npaXAR2Igf6elpcBHYgZsFYYpoEL2ocooJRHayAk&_nc_ohc=FaNv9qi7C8sAX9jfjua&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCYaYwgP-VUrmD1hzlN-pqTZGWP1AExi4IlWYv-ugq_RA&oe=645B9A50,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=781395100202832,Data is future,14,24,9,6,2,0,1114,1102
926011594215556_781942233481452,2023-04-13,12:54:00,photo,"Our intensive, hands-on data science course covers everything you need to know about data science and AI.

Learn skills from stats to data visualisation and databases to machine learning.

Follow the link to apply: https://bit.ly/400RanM

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=781942203481455&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340826317_1040154426965825_9103114757886614356_n.jpg?stp=dst-jpg_p130x130&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFx-xF0aKW3SpasiK1Z28EZ_TYGx8CeqWn9NgbHwJ6pacmD69h5owxgA5U6pIc9W9E&_nc_ohc=VE5YsmIu7hMAX_GaPc6&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCL1Gl4WKFRF9I8HX0dXMvIt73GzlDy_S67hYeQ2O93Sg&oe=645B2B6E,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340826317_1040154426965825_9103114757886614356_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFx-xF0aKW3SpasiK1Z28EZ_TYGx8CeqWn9NgbHwJ6pacmD69h5owxgA5U6pIc9W9E&_nc_ohc=VE5YsmIu7hMAX_GaPc6&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfCmDs-Q6JAGhCi073KEdXKIluzJUi9nYgIJxw_YwxubXA&oe=645B2B6E,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=781942233481452,Just imagine being a Machine learning engineer 🙌🙌🙌,6,12,3,,3,0,815,811
926011594215556_782770906731918,2023-04-14,16:36:01,photo,"Our intensive, hands-on data engineering course covers everything you need to know about working with big data.

Learn skills from stats to SQL and cloud computing to processing big data.

Follow the link to apply: https://bit.ly/401MFJu

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=782770886731920&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340981252_559142073028567_8891394907899419904_n.jpg?stp=dst-jpg_p130x130&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeE-AnGnbrbdkeeQdsqYuqCm7-4bYaeNyOrv7hthp43I6mNay8v5x_8pq3vwCVs0wOo&_nc_ohc=sM2Z8TLm9C4AX-D1Rev&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfB4V_dqMG3UaqKqi5DAfnVM01Gm319fmyTZMHR__CfiAQ&oe=645B7DDD,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/340981252_559142073028567_8891394907899419904_n.jpg?stp=dst-jpg_p720x720&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeE-AnGnbrbdkeeQdsqYuqCm7-4bYaeNyOrv7hthp43I6mNay8v5x_8pq3vwCVs0wOo&_nc_ohc=sM2Z8TLm9C4AX-D1Rev&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfDd5As1r8RGksM-io5lno5DBwnAbDXOP4Bv9Ygd6TRkcg&oe=645B7DDD,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=782770906731918,When is your next intake for the ISA ( INCOME SHARE AGREEMENT),8,10,7,,2,0,587,569
926011594215556_784700453205630,2023-04-17,16:51:06,photo,"Think you know someone who's got what it takes to complete a course with ExploreAI Academy? Refer them successfully and stand a chance to be paid R5,000 (or the equivalent in your currency). Ts and Cs in the referral form.

Hit the link to refer and win.

https://bit.ly/3my026J

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=784700423205633&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/341777209_266654792460127_7058027362604933366_n.jpg?stp=dst-jpg_p130x130&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFCDYvPerQ0V2sfZKydr3s1goNPJIMSAZSCg08kgxIBlE4FIu9TfpKud0ANGzGl7ug&_nc_ohc=DJ_H8lfvxNQAX-jiumj&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfChGpW2YrMczp0oLrhuZtrQP9PJcySIsXzap-7RiqIOZg&oe=645B1D3B,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/341777209_266654792460127_7058027362604933366_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeFCDYvPerQ0V2sfZKydr3s1goNPJIMSAZSCg08kgxIBlE4FIu9TfpKud0ANGzGl7ug&_nc_ohc=DJ_H8lfvxNQAX-jiumj&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfA7WFpczaq7K23NT86mHab3uSssNRu9Pjyu_fbvYlnjWw&oe=645B1D3B,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=784700453205630,,5,9,4,1,0,0,460,446
926011594215556_785327703142905,2023-04-18,16:10:04,photo,"Got a job? Study part-time. Keen to get through the course as fast as possible? Do it full-time.

*Scholarship and Accelerator tuition options include a 3-month internship after the coursework

Learn more here: https://bit.ly/3MIBORQ

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=785327689809573&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/342180733_908624083755125_2256561739616448343_n.jpg?stp=dst-jpg_p130x130&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEX1VUwKpjF_hiW_yUeFexw0_OS1MLwLMLT85LUwvAswhcisVIT1KmZoWDO5FI23Co&_nc_ohc=PRYH-ofg-9IAX-fNFXy&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBTkQ9ptac0ZRQm-GwuYAmJUjJpeWOOzGEgKFdBeoVtug&oe=645BF9C1,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/342180733_908624083755125_2256561739616448343_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEX1VUwKpjF_hiW_yUeFexw0_OS1MLwLMLT85LUwvAswhcisVIT1KmZoWDO5FI23Co&_nc_ohc=PRYH-ofg-9IAX-fNFXy&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfArwW0Q2AFIcMxCd59abplMPVbkdN7--pZancM-LqURrg&oe=645BF9C1,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=785327703142905,How can i apply for the scholarship,12,8,9,2,3,0,920,907
926011594215556_785327703142905,2023-04-18,16:10:04,photo,"Got a job? Study part-time. Keen to get through the course as fast as possible? Do it full-time.

*Scholarship and Accelerator tuition options include a 3-month internship after the coursework

Learn more here: https://bit.ly/3MIBORQ

#ExploreAIAcademy #DataScience #DataEngineering #TechSkills #eLearning #MachineLearning #BigData",https://www.facebook.com/photo.php?fbid=785327689809573&set=a.725513949124281&type=3,,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/342180733_908624083755125_2256561739616448343_n.jpg?stp=dst-jpg_p130x130&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEX1VUwKpjF_hiW_yUeFexw0_OS1MLwLMLT85LUwvAswhcisVIT1KmZoWDO5FI23Co&_nc_ohc=PRYH-ofg-9IAX-fNFXy&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfBTkQ9ptac0ZRQm-GwuYAmJUjJpeWOOzGEgKFdBeoVtug&oe=645BF9C1,https://scontent-lcy1-1.xx.fbcdn.net/v/t39.30808-6/342180733_908624083755125_2256561739616448343_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=730e14&_nc_eui2=AeEX1VUwKpjF_hiW_yUeFexw0_OS1MLwLMLT85LUwvAswhcisVIT1KmZoWDO5FI23Co&_nc_ohc=PRYH-ofg-9IAX-fNFXy&_nc_ht=scontent-lcy1-1.xx&edm=AKIiGfEEAAAA&oh=00_AfArwW0Q2AFIcMxCd59abplMPVbkdN7--pZancM-LqURrg&oe=645BF9C1,https://www.facebook.com/permalink.php?id=926011594215556&story_fbid=785327703142905,I will be applying for the scholarship for the 7th time 😭😭,12,8,9,2,3,0,920,907
